,Bike_number,StartLatitude,StartLongitude,EndLatitude,EndLogitude,OriginZip,DestinationZip,Duration,Duration per minute
518,W20113,38.9086,-77.0323,38.9086,-77.0323,20006,20005,676.0,11.266666666666667
519,W21679,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2418.0,40.3
520,W21238,38.8952,-77.0436,38.8952,-77.0436,20006,20006,516.0,8.6
521,W22842,38.8767,-77.0178,38.8767,-77.0178,20024,20024,4465.0,74.41666666666667
522,W22158,38.8767,-77.0178,38.8767,-77.0178,20024,20024,465.0,7.75
523,W01003,38.8637,-77.0633,38.8637,-77.0633,20037,22204,4539.0,75.65
524,W21023,38.8952,-77.0436,38.8952,-77.0436,20036,20036,4912.0,81.86666666666666
525,W21358,38.9375,-77.0328,38.9375,-77.0328,20010,20010,1477.0,24.616666666666667
526,W21174,38.9086,-77.0323,38.9086,-77.0323,20005,20005,167.0,2.783333333333333
527,W00579,38.9086,-77.0323,38.9086,-77.0323,20006,20005,6634.0,110.56666666666666
528,W20348,38.9057,-77.0056,38.9057,-77.0056,20002,20002,2341.0,39.016666666666666
529,W01369,38.9086,-77.0323,38.9086,-77.0323,20005,20005,669.0,11.15
530,W21843,38.8767,-77.0178,38.8767,-77.0178,20024,20024,66.0,1.1
531,W01184,38.8767,-77.0178,38.8767,-77.0178,20024,20024,362.0,6.033333333333333
532,W01454,38.9375,-77.0328,38.9375,-77.0328,20010,20010,1238.0,20.633333333333333
533,W01281,38.8767,-77.0178,38.8767,-77.0178,20024,20024,3014.0,50.233333333333334
534,W20219,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1818.0,30.3
535,W20836,38.9086,-77.0323,38.9086,-77.0323,20005,20005,7601.0,126.68333333333334
536,W01437,38.8767,-77.0178,38.8767,-77.0178,20024,20024,957.0,15.95
537,W23137,38.9086,-77.0323,38.9086,-77.0323,20006,20005,3750.0,62.5
538,W22372,38.9176,-77.0321,38.9176,-77.0321,20010,20010,77.0,1.2833333333333334
539,W21956,38.9057,-77.0056,38.9057,-77.0056,20002,20002,3165.0,52.75
540,W00161,38.9319,-77.0388,38.9319,-77.0388,20036,20036,475.0,7.916666666666667
541,W22071,38.9086,-77.0323,38.9086,-77.0323,20005,20005,5332.0,88.86666666666666
542,W20017,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1477.0,24.616666666666667
543,W01116,38.9003,-77.0429,38.9003,-77.0429,20006,20006,3535.0,58.916666666666664
544,W22164,38.9057,-77.0056,38.9057,-77.0056,20002,20002,11170.0,186.16666666666666
545,W23029,38.8767,-77.0178,38.8767,-77.0178,20024,20024,173.0,2.8833333333333333
546,W21424,38.9176,-77.0321,38.9176,-77.0321,20010,20010,834.0,13.9
547,W01454,38.9319,-77.0388,38.9319,-77.0388,20036,20036,1708.0,28.466666666666665
548,W22545,38.9057,-77.0056,38.9057,-77.0056,20002,20002,279.0,4.65
549,W21777,38.9086,-77.0323,38.9086,-77.0323,20006,20005,461.0,7.683333333333334
550,W20444,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1403.0,23.383333333333333
551,W23087,38.8767,-77.0178,38.8767,-77.0178,20024,20024,7590.0,126.5
552,W00522,38.9086,-77.0323,38.9086,-77.0323,20005,20005,2806.0,46.766666666666666
553,W01090,38.9086,-77.0323,38.9086,-77.0323,20005,20005,590.0,9.833333333333334
554,W01112,38.9057,-77.0056,38.9057,-77.0056,20002,20002,203.0,3.3833333333333333
555,W00347,38.8952,-77.0436,38.8952,-77.0436,20036,20036,193.0,3.216666666666667
556,W20939,38.9319,-77.0388,38.9319,-77.0388,20010,20036,1469.0,24.483333333333334
557,W01114,38.9375,-77.0328,38.9375,-77.0328,20010,20010,364.0,6.066666666666666
558,W00402,38.9057,-77.0056,38.9057,-77.0056,20002,20002,945.0,15.75
559,W21589,38.9086,-77.0323,38.9086,-77.0323,20006,20005,70.0,1.1666666666666667
560,W22301,38.8952,-77.0436,38.8952,-77.0436,20006,20006,1694.0,28.233333333333334
561,W01496,38.9057,-77.0056,38.9057,-77.0056,20002,20002,,
562,W00333,38.9086,-77.0323,38.9086,-77.0323,20005,20005,6528.0,108.8
563,W23198,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1312.0,21.866666666666667
564,W01259,38.8767,-77.0178,38.8767,-77.0178,20024,20024,5703.0,95.05
565,W00749,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1698.0,28.3
566,W01141,38.8952,-77.0436,38.8952,-77.0436,20006,20006,5863.0,97.71666666666667
567,W00074,38.9086,-77.0323,38.9086,-77.0323,20006,20005,1282.0,21.366666666666667
568,W22524,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1482.0,24.7
569,W21002,38.8637,-77.0633,38.8637,-77.0633,20037,22204,6186.0,103.1
570,W22920,38.9176,-77.0321,38.9176,-77.0321,20010,20010,719.0,11.983333333333333
571,w00461,38.8637,-77.0633,38.8637,-77.0633,20037,22204,8298.0,138.3
572,W23045,38.8767,-77.0178,38.8767,-77.0178,20024,20024,1206.0,20.1
573,W21458,38.9057,-77.0056,38.9057,-77.0056,20002,20002,1702.0,28.366666666666667
