,externalID,OriginZip,DestinationZip,TotalAMount,milage,Duration
322,32647557,20004,20748,29.34,6.0,45
323,74945_26NF4N7T,20036,20004,17.87,1.82,811
324,75289_26NF5VTF,20036,20005,8.9,0.86,557
325,63669_26NNHKNL,20004,20001,7.2,0.82,264
326,30778986,20007,20007,69.95,0.0,48
327,50673_26NLL7L4,20009,20007,15.65,2.85,1179
328,32718561,20433,20001,19.46,2.2,31
329,30141715,20007,20001,31.35,5.6,38
330,76957_26NNHIQJ,20036,20004,9.17,1.26,544
331,52504_26NTGBNQ,20005,20007,9.28,1.43,348
332,28401489,21240,20037,84.62,30.9,48
333,77727_26NKI5IA,20003,20001,8.09,1.2,466
334,31922117,20003,20590,6.5,0.9,32
335,31576444,20052,20011,22.4,5.0,29
336,73523_26NTEEDJ,20024,20010,17.11,3.78,1012
337,63165_26NO2IT8,20006,20001,12.33,1.79,757
338,29171938,22202,20007,24.78,5.9,30
339,72354_26NON35Z,20005,20036,6.74,0.7,339
340,26593268,20001,20019,27.17,5.0,36
341,78082_26NNE18W,20036,22209,10.25,2.82,467
342,54875_26NNHRI3,20003,20004,11.52,1.92,605
343,66075_26NCRFXY,20037,20036,12.87,1.7,845
344,29621554,20002,22202,27.59,4.4,33
345,72445_26NL2QPW,20005,20002,11.87,2.01,764
346,74145_26NCS7EZ,20037,20036,8.78,1.02,380
347,30692218,20002,22202,24.48,5.0,29
348,64154_26ND93D7,20002,20036,16.88,2.12,706
349,73930_26NTG45M,20005,22202,29.15,7.23,2020
350,26921428,20007,20002,24.84,3.6,32
351,35827906,20005,20017,19.35,3.8,29
352,79527_26NFRBQM,20036,20008,5.66,0.76,214
353,65954_26NLLS41,20004,22207,16.73,5.13,766
354,28945435,20016,20037,32.04,9.0,43
355,76458_26NF504S,20001,20024,11.87,1.83,783
356,81274_26NFN1NO,20024,20003,9.44,1.79,476
357,26551295,20002,20007,20.51,4.9,34
358,30008042,20024,20007,26.1,5.0,35
359,81446_26NF56ZP,20036,20219,16.46,2.48,1244
360,26791223,20008,20008,56.42,10.9,107
361,29146460,20002,20015,32.29,8.4,29
362,73112_26NNDMZN,20007,20005,8.82,1.52,388
363,26899123,20004,20004,24.15,3.0,31
364,35147854,20006,20002,26.24,2.1,29
365,27101283,20020,20018,21.32,0.0,33
366,31210475,20001,20816,32.99,7.1,42
367,33990962,20005,20166,82.28,28.8,45
368,29842404,20036,20009,15.38,1.6,52
369,29216904,20003,20005,26.14,3.28,38
370,35713468,22202,20015,46.63,11.4,38
371,33565876,20024,20004,29.65,5.57,35
372,77069_26NFQNB1,20433,20037,7.28,0.92,367
373,34615147,20009,20817,35.36,11.8,43
374,1362665A,20019,20001,17.65,4.097943012803,1175
375,59321_26NCR9GT,20006,20008,9.17,1.68,460
376,31854641,20006,20007,18.19,2.2,29
377,30880002,20002,20016,22.13,5.27,36
378,34315617,20007,20001,20.4,3.0,30
379,70065_26NTBT2T,20005,20566,9.17,1.63,582
380,35822715,20002,20002,80.3,28.0,45
381,57066_26NSUSRD,20037,20007,10.82,1.01,442
382,81664_26NEK76W,20002,20004,7.47,0.82,272
383,30302610,20002,20814,63.96,23.0,38
384,72783_26NGTV2W,20005,22301,26.56,8.21,928
385,28465810,20002,20874,68.49,28.0,49
386,30055545,22202,20004,39.17,13.4,38
387,33644332,20540,20037,22.62,3.6,31
388,58973_26NOOF0S,20036,20008,9.05,1.59,351
389,34583866,20037,20011,36.0,8.0,42
390,79035_26NDV3S5,20004,22042,43.86,12.78,1796
391,33201024,20002,20902,37.71,11.6,48
392,34363703,20001,20001,27.47,5.09,31
393,28542346,20002,20002,13.25,2.1,42
394,81066_26NUMS4J,20002,20037,12.41,2.57,784
395,78864_26NFMZWF,20009,20036,9.92,1.56,508
396,72835_26NP6FGU,20037,22206,24.43,5.28,1151
397,29652139,20037,20002,21.54,2.6,31
398,64507_26NNHJ18,20005,20024,9.98,1.7,609
399,30273780,20007,22314,43.37,10.0,56
400,26914326,20003,20003,21.24,3.41,39
401,65681_26NQZI7Z,20001,20009,10.25,2.18,538
402,1360085A,20560,20006,9.71,1.5646126620528,829
403,58565_26NUN3P0,20230,20003,13.14,2.81,710
404,29921395,20003,20007,21.97,4.4,32
405,33728475,20001,22207,24.56,8.0,29
406,27852139,20006,20012,22.4,6.0,31
407,1357433A,22202,20002,26.08,10.170603674535,1013
408,74840_26NTX9BD,20268,20005,5.39,0.47,200
409,72583_26NCNV5E,20001,20036,8.9,1.42,540
410,66374_26NO369F,20004,20036,9.32,1.46,379
411,34039871,22202,20006,25.05,4.6,29
412,26655306,20037,20001,13.3,2.0,126
413,30280540,20004,20854,51.75,18.0,45
414,62535_26NO0M4L,20016,20782,23.75,8.86,1157
415,91082_26NOOLCR,20006,20037,10.25,1.46,686
416,73784_26NM6MDC,20037,20008,7.28,0.68,415
417,74888_26NDXJZG,20009,20009,4.85,0.64,150
418,35829689,22202,20002,29.65,6.6,32
419,34336792,20560,20032,38.25,13.4,42
420,34496718,20002,22101,43.08,13.7,30
421,56001_26NFQNM4,20001,20003,10.45,1.94,638
422,31985584,20001,20001,89.07,30.0,45
423,34188012,20011,20024,9.9,2.1,32
424,1347918A,20001,20032,23.32,6.035378390198,1320
425,81836_26NEJTJ0,20037,20746,34.34,10.48,1348
426,63393_26NFPMKC,20268,22202,12.95,4.03,550
427,35808810,20004,20015,30.1,8.0,29
428,79034_26NQH26N,20001,22201,18.73,5.43,755
429,35749177,20008,20008,69.65,30.0,43
430,29759258,20024,20007,33.99,9.0,38
431,76730_26NO3722,20006,20544,20.0,2.07,989
432,32023797,20036,22150,45.08,16.0,37
433,30010714,20037,20174,67.37,25.0,30
434,30521924,20001,22202,27.33,5.0,33
435,27049145,20037,20002,21.6,8.3,29
436,77479_26NMVE6U,20226,20003,10.82,1.53,371
437,28954189,20002,20006,17.27,3.0,29
438,74478_26NEKIEG,20037,20009,13.06,1.55,762
439,54786_26NDDJUQ,20007,22201,16.87,2.36,646
440,33520795,20747,20003,28.18,6.39,36
441,26617465,20004,20814,31.31,12.0,29
442,77795_26NL3BQ4,20001,22202,17.0,5.32,963
443,56803_26NLO3JL,20005,20002,13.6,2.07,699
444,76586_26NLPOPW,20009,20001,11.06,1.49,758
445,72431_26NCRXXY,20001,22202,23.95,5.92,1157
446,74523_26NM7EBG,20004,20009,9.36,1.34,490
447,1360656A,20010,20784,21.89,5.4761443171846995,1289
448,30523252,20002,20008,22.34,3.8,30
449,62535_26NQEBBM,20001,20016,13.76,3.79,736
450,1362211A,20045,20001,11.36,0.9463483257769499,606
451,30493697,20005,20016,30.16,5.0,39
452,31483428,20002,21201,103.41,39.5,69
453,59894_26NTG8LA,20004,20037,14.49,1.91,919
454,77227_26NP83O1,20005,20166,66.87,27.38,2203
455,78728_26NEKE1N,20005,20009,15.41,1.68,1262
456,20170436576179,20016,20011,25.75,5.88,31
457,35070492,20547,20005,48.73,16.1,59
458,70372_26NNGM5Q,20011,20011,9.98,2.07,540
459,91287_26NON589,20036,20005,13.06,1.4,765
460,78001_26NTBS55,20036,20007,28.35,6.07,1012
461,36216608,20001,20007,24.48,3.2,33
462,54788_26NL24I9,20036,22206,29.21,8.42,1080
463,65697_26NCRVIQ,20006,20166,72.22,27.31,3033
464,75127_26NPUN5A,20007,20002,17.46,3.23,1161
465,65608_26NO2XBS,20052,20006,8.47,0.86,285
466,32759378,20004,20166,83.68,28.7,44
467,35412403,20002,20019,22.4,4.7,35
468,70856_26NF56G1,20004,20010,14.3,2.63,980
469,58087_26NGBV18,20016,20007,9.28,1.07,370
470,75067_26NTYH1U,20009,20037,8.36,1.35,446
471,1360434A,20036,20004,12.33,2.0256700866926,878
472,66385_26NO36A7,20004,20001,8.64,0.74,271
473,74797_26NMW1QN,20002,22202,15.84,4.18,832
474,32625404,20036,22314,34.8,10.0,32
475,64343_26NF4F1E,20004,22202,20.54,5.09,980
476,31412087,20009,20036,30.6,7.24,31
477,35391801,20002,20015,39.5,6.27,40
478,34362052,20002,20009,29.18,5.9,48
479,26972053,20005,22202,24.29,7.0,30
480,80336_26NSTSJ9,20002,20036,16.14,2.25,830
481,30290281,22202,20814,60.78,20.4,32
482,1354119A,20001,20005,5.12,0.62696353296713,275
483,75040_26NDCA8M,20009,20007,8.9,1.43,526
484,1363715A,20004,20002,12.25,1.9312216654726002,600
485,1358354A,20009,20001,8.63,1.2365286725516,546
486,75078_26NNGPSE,20011,20010,6.66,0.56,237
487,30950435,20002,22203,26.32,7.0,29
488,80790_26NPU4Y9,20037,20015,17.27,5.39,1009
489,31073344,20005,20005,35.82,13.0,30
490,30039372,20005,20590,19.86,3.0,29
491,76736_26NS8LRI,20005,20036,5.39,0.61,201
492,26631859,20002,20036,20.27,3.7,31
493,29119785,20024,20009,21.51,3.3,514
494,1358293A,20016,22202,29.72,10.028931042704999,1404
495,32783016,20002,20015,28.5,6.46,35
496,75973_26NUJNVO,20009,20009,9.2,0.68,295
497,29719920,20002,20005,27.67,0.0,40
